,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,Total,Fast Facts,
USA,23,24,35,22,40,32,23,32,40,35,22,24,30,28,38,37,32,45,37,27,1,627,# countries,44
Japan,0,0,12,7,15,11,11,11,10,19,8,8,10,9,14,6,8,8,10,8,1,186,Top 5 countries,USA (626)
Korea,0,0,0,0,1,3,,2,3,5,6,8,6,3,3,8,2,3,7,5,1,66,,Japan(185)
Mexico,0,0,0,2,1,1,2,3,3,2,3,6,3,0,3,1,1,1,2,,1,35,,Brazil(88)
Brazil,0,0,0,4,4,8,7,7,8,3,3,4,7,12,6,1,0,4,4,6,1,89,,Korea(65)
China,0,0,0,0,3,1,0,1,1,5,5,3,3,3,3,2,4,1,2,1,1,39,,China(38)
Canada,1,0,1,0,0,0,0,1,2,3,3,2,2,2,2,5,0,3,,1,1,29,,
Australia,0,0,0,0,0,0,0,0,2,3,1,,1,1,2,5,2,1,1,2,1,22,,
Germany,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,4,0,1,1,1,13,,
Italy,0,0,0,0,0,1,0,0,3,1,2,2,2,1,2,2,1,0,1,0,1,19,,
Switzerland,0,0,0,0,1,1,1,1,0,2,1,2,1,3,1,0,1,0,1,1,1,18,,
Belgium,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,4,,
Cuba,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,1,5,,
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,,
Austria,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,1,10,,
Portugal,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,5,4,5,5,9,1,34,,
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,,
Peru,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3,,
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,,
France,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,1,1,0,1,7,,
Spain,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,0,1,0,1,7,,
Paraguay,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,4,,
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,,
New Zealand,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,,
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,,
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,,
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,,
Ukraine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,,
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,,
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,5,,
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,,
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,
Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,,
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,
Israel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,,
United Kingdom,0,0,0,0,0,0,1,3,3,2,2,0,0,0,0,0,0,0,0,0,1,11,,
Turkey,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,
Russia,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,4,1,8,,
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,,
Latvia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Venezuela,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Greece,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,
Mongolia,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,,
Panama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Total Awards,24,24,53,35,67,59,45,65,79,85,65,62,70,69,84,76,66,83,83,77,,,,
,61,61,32,50,18,26,40,20,6,0,20,23,15,16,1,9,19,2,2,8,,,,
Grand Prix,USA,USA,USA,USA,USA,USA,USA/UK,Greece,Germany,USA,UK,Brazil,Korea,N/A,USA/,N/A,UK,N/A,N/A,Germany,,"Top 12's, top 6's, ensemble, pas de deux",,
,Harid,Harid,"Kirov, DC",Universal Ballet Academy,SC Governor's School for Arts,Alabama Ballet School,Orlando Ballet School,?,John Cranko School,Orlando Ballet School,Royal Ballet School,Petite Danse School of Dance,Korean National University of the Arts,,ABT,,Royal Ballet School,,,John Cranko School,,"Did not count special prizes or teachers or school awards, ",,
,FL,FL,DC,DC,SC,AL,FL,,Stuttgart,FL,London,,,,NY,,London,,,Stuttgart,,"Did not count gold/silver/bronze/grand prix, because of repeats",,
,,,,,,,Royal Ballet School,,,,,,,,,,,,,,,,,
Senior,,,,,,,London,,,,,,,,,,,,,,,,,
Gold,,,,,,,,,,,,,,,,,,,,,,,,
Silver,,,,,,,,,,,,,,,,,,,,,,,,
Bronze,,,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,,,,,,,,,,,,,,,,,
Gold,,,,,,,,,,,,,,,,,,,,,,,,
Silver,,,,,,,,,,,,,,,,,,,,,,,,
Bronze,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Comp,,,,,,,,,,,,,,,,,,,,,,,,
Gold,,,,,,,,,,,,,,,,,,,,,,,,
Silver,,,,,,,,,,,,,,,,,,,,,,,,
Bronze,,,,,,,,,,,,,,,,,,,,,,,,
